year,name,artists,acousticness,danceability,energy,liveness,speechiness,weight
2010,Stereo Love - Extended Mix,"['Edward Maya', 'Vika Jigulina']",0.0283,0.78,0.776,0.0829,0.0374,0
2010,This Woman and This Man,['Clay Walker'],0.0366,0.586,0.581,0.0428,0.0345,0
2010,I Like To Move It,['Madagascar 5'],0.148,0.615,0.989,0.0645,0.173,0
2010,Tu Historia Fue Conmigo,['La Arrolladora Banda El Limón De Rene Camacho'],0.507,0.732,0.538,0.0616,0.0276,0
2010,The Stranger,['Lord Huron'],0.277,0.244,0.595,0.222,0.0343,0
2010,Cloud Watching,['Paul Hardcastle'],0.564,0.634,0.523,0.0555,0.0286,0
2010,"The Nutcracker - Ballet, Op.71, Act I: No. 7 - The Battle","['Pyotr Ilyich Tchaikovsky', 'Sir Simon Rattle', 'Berliner Philharmoniker']",0.96,0.392,0.386,0.218,0.0666,0
2010,All I Want for Christmas,['Big Time Rush'],0.0025,0.471,0.872,0.297,0.0488,0
2010,Isolation,['Alter Bridge'],0.00000653,0.431,0.964,0.0941,0.0745,0
2010,And the Birds Sing,['Tyrone Wells'],0.707,0.751,0.385,0.0944,0.032,0
2010,La Reunión De Los Vaqueros,"['Wisin & Yandel', 'Cosculluela', 'Tego Calderon', 'De La Ghetto', 'Franco ""El Gorilla""']",0.198,0.845,0.845,0.126,0.136,0
2010,You Kill Me (In a Good Way),['Sleeping With Sirens'],0.0000609,0.38,0.907,0.103,0.062,0
2010,Right On,"['The Roots', 'Joanna Newsom', 'STS']",0.0136,0.817,0.769,0.456,0.151,0
2010,Talamak,['Toro y Moi'],0.626,0.575,0.677,0.12,0.447,0
2010,It's My Life / Confessions Part II (Glee Cast Version),['Glee Cast'],0.0385,0.586,0.882,0.32,0.0487,0
2010,Mi Amigo,['Kings of Leon'],0.0818,0.587,0.625,0.147,0.0356,0
2010,Bruised Orange (Chain of Sorrow),['Justin Vernon'],0.988,0.169,0.424,0.0648,0.0586,0
2010,Dinosaur,['Kesha'],0.0532,0.863,0.88,0.0706,0.175,0
2010,Fire,['Bruce Springsteen'],0.0292,0.731,0.535,0.0705,0.0424,0
2010,The Seal Lullaby,"['Eric Whitacre', 'Eric Whitacre Singers']",0.988,0.233,0.0217,0.0836,0.0413,0
2010,Love That Lets Go,"['Hannah Montana', 'Billy Ray Cyrus']",0.271,0.547,0.547,0.0875,0.0282,0
2010,Who Let The Ghosts Out,['The Hit Crew Kids'],0.601,0.862,0.889,0.405,0.064,0
2010,Set It On Fire,['My Darkest Days'],0.00156,0.496,0.949,0.0977,0.0537,0
2010,I Got Nothin',['Darius Rucker'],0.169,0.554,0.621,0.086,0.0325,0
2010,El Alamo,['Los Cuates de Sinaloa'],0.136,0.804,0.765,0.0588,0.0378,0
2010,Dulce Soledad,['Enjambre'],0.00193,0.405,0.908,0.128,0.0508,0
2010,San Cristóbal,['Mal Blum'],0.887,0.516,0.292,0.101,0.0598,0
2010,24 Horas,['24 Horas'],0.206,0.814,0.68,0.101,0.043,0
2010,God Only Knows - EP Version,['JR JR'],0.717,0.505,0.567,0.172,0.0282,0
2010,Sticks & Stones,['Jónsi'],0.00369,0.399,0.727,0.16,0.0486,0
2010,La Tragedia de Iguala,['Los Armadillos de la Sierra'],0.801,0.86,0.402,0.0844,0.0592,0
2010,Siento Que Te Quiero,['Zacarias Ferreira'],0.256,0.82,0.456,0.0843,0.0613,0
2010,Casi un Hechizo,['Jerry Rivera'],0.714,0.68,0.715,0.0541,0.0409,0
2010,Sukiyaki,['Kyu Sakamoto'],0.707,0.415,0.359,0.319,0.0334,0
2010,Black Mud,['The Black Keys'],0.253,0.515,0.502,0.345,0.058,0
2010,Mowgli's Road,['MARINA'],0.00639,0.621,0.808,0.503,0.0454,0
2010,Ambling Alp,['Yeasayer'],0.00838,0.587,0.866,0.15,0.0816,0
2010,Devils,['Boosie Badazz'],0.0564,0.781,0.747,0.355,0.0862,0
2010,Last Friday Night (T.G.I.F.),['Katy Perry'],0.00125,0.652,0.812,0.667,0.0409,0
2010,Hermit the Frog,['MARINA'],0.265,0.617,0.654,0.151,0.0295,0
2010,Buscándote,['Los Llayras'],0.584,0.768,0.683,0.119,0.0461,0
2010,Give Peace A Chance - Remastered 2010,"['John Lennon', 'Yoko Ono']",0.323,0.451,0.875,0.682,0.121,0
2010,England,['The National'],0.701,0.491,0.645,0.106,0.0398,0
2010,Attero Dominatus,['Sabaton'],0.0000102,0.201,0.731,0.0868,0.0529,0
2010,"Pink Elephants on Parade - From ""Dumbo""",['Disney Studio Chorus'],0.935,0.649,0.519,0.318,0.226,0
2010,"Tear it Down - From ""Camp Rock 2: The Final Jam""","['Meaghan Martin', 'Matthew ""Mdot"" Finley']",0.00183,0.484,0.947,0.205,0.16,0
2010,Don't Let It Pass,['Junip'],0.69,0.674,0.481,0.125,0.0297,0
2010,only my railgun,['fripSide'],0.221,0.57,0.998,0.317,0.159,0
2010,I WILL SURVIVE,['Gloria Gaynor'],0.126,0.772,0.794,0.322,0.0632,0
2010,"Starve The Ego, Feed The Soul",['The Glitch Mob'],0.582,0.415,0.528,0.498,0.158,0
2010,Jolene,['The White Stripes'],0.636,0.278,0.752,0.394,0.163,0
2010,Harry Potter - Prologue,['The London Fox Players'],0.85,0.262,0.252,0.208,0.0341,0
2010,"Coca Coca (feat. Rocko, OJ Da Juiceman, Waka Flocka Flame, Shawty Lo, Yo Gotti, & Nicki Minaj)","['Gucci Mane', 'Nicki Minaj', 'OJ Da Juiceman', 'Rocko', 'Shawty Lo', 'Waka Flocka Flame', 'Yo Gotti']",0.00416,0.81,0.56,0.143,0.162,0
2010,Til The Last Shot's Fired,['Trace Adkins'],0.506,0.416,0.465,0.104,0.035,0
2010,Cold Hearted,['Zac Brown Band'],0.414,0.4,0.465,0.0739,0.0264,0
2010,Cupid,['Sam Cooke'],0.476,0.485,0.433,0.0861,0.0342,0
2010,Face In The Crowd,['Mac Miller'],0.23,0.407,0.918,0.254,0.482,0
2010,Drops Of Jupiter - Live/2011,['Taylor Swift'],0.806,0.374,0.504,0.76,0.0392,0
2010,Your Biggest Fan,"['Jonas Brothers', 'China Anne McClain']",0.0389,0.723,0.62,0.263,0.0685,0
2010,"The Nutcracker - Ballet, Op.71, Act II: No. 10 - The Kingdom of Sweets","['Pyotr Ilyich Tchaikovsky', 'Sir Simon Rattle', 'Berliner Philharmoniker']",0.915,0.136,0.173,0.0991,0.0383,0
2010,I Go To Sleep,['Anika'],0.0233,0.597,0.492,0.0828,0.032,0
2010,Surah Al-Fatiha,['Sheikh Mishary Rashid Alfasay'],0.936,0.35,0.197,0.163,0.0323,0
2010,Only Look At Me (나만 바라봐),['TAEYANG'],0.27,0.707,0.675,0.332,0.0336,0
2010,Relentless Chaos,['Miss May I'],0.000139,0.458,0.99,0.454,0.136,0
2010,Hanging On By A Thread,['The Letter Black'],0.00000359,0.434,0.94,0.0959,0.0546,0
2010,"Don't Think Twice, It's Alright",['Emilie-Claire Barlow'],0.906,0.66,0.437,0.101,0.0466,0
2010,Kickstarts,['Example'],0.00374,0.61,0.836,0.358,0.0573,0
2010,La Carcacha,['Selena'],0.13,0.696,0.8,0.361,0.0671,0
2010,Cuenta Conmigo,['Jerry Rivera'],0.591,0.58,0.727,0.223,0.0393,0
2010,Not Afraid,['Eminem'],0.537,0.852,0.955,0.356,0.275,0
2010,Farewell to Dobby,['Alexandre Desplat'],0.953,0.0865,0.0621,0.0903,0.0392,0
2010,Boasting,"['Lecrae', 'Anthony Evans']",0.215,0.399,0.74,0.369,0.284,0
2010,Skin,['Sade'],0.0279,0.803,0.384,0.112,0.0493,0
2010,Angels we have heard on high,['Chanticleer'],0.995,0.159,0.122,0.139,0.0447,0
2010,7 Shots,['Volbeat'],0.0000412,0.289,0.929,0.119,0.0914,0
2010,Celebrity,['Brad Paisley'],0.379,0.643,0.837,0.18,0.0316,0
2010,Feel Like Making Love,['Bad Company'],0.153,0.452,0.635,0.754,0.0321,0
2010,Angels We Have Heard On High (Glee Cast Version),['Glee Cast'],0.0349,0.365,0.805,0.107,0.0615,0
2010,Fallen Angel feat. Aimee B,"['Mitsunori Ikeda', 'Aimee B']",0.21,0.804,0.765,0.0993,0.0584,0
2010,La del Vestido Rojo,['Acapulco Tropical'],0.28,0.694,0.81,0.316,0.0323,0
2010,Vaporize,['Broken Bells'],0.0236,0.557,0.588,0.523,0.0293,0
2010,I Rep The West,['Ice Cube'],0.00657,0.716,0.885,0.0928,0.303,0
2010,I Think Ur A Contra,['Vampire Weekend'],0.924,0.366,0.329,0.0819,0.0394,0
